"ClaveArticulo","Descripcion","ArticuloTipo","ArticuloGrupo","ArticuloClase","Almacenable","Identificacion","UMedInv","UMedVenta","UMedCpa","Precio","pctDescuento","UbicacionAlmacen","UbicacionClave"
"100-1931C","CALAVERA CUAD UNIVERSAL DIAMANTADA BLANCA","26CAL","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"100-1931R","CALAVERA CUAD UNIVERSAL DIAMANTADA ROJO","26CAL","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"100-1931Y","CALAVERA CUAD UNIVERSAL DIAMANTADA AMBAR","26CAL","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"10001","DEFENSA ANTID AERO CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3400,0,"01","01"
"10002","DEFENSA ANTID AERO PINTADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3400,0,"01","01"
"10003","DEFENSA ANTID AERO C/HULE SUP CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",4000,0,"01","01"
"10007","DEFENSA ANTID AERO LUXE CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",4500,0,"01","01"
"10009","DEFENSA ANTID COWBOY CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3400,0,"01","01"
"10010","DEFENSA ANTID MINI COWBOY CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3000,0,"01","01"
"10011","DEFENSA ANTID FLEY CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3400,0,"01","01"
"10012","DEFENSA ANTID FLEY PINTADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3400,0,"01","01"
"10013","DEFENSA ANTID FLEY C/HULE AL FRENTE CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",4000,0,"01","01"
"10014","DEFENSA ANTID FLEY C/HULE SUP CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",4000,0,"01","01"
"10016","DEFENSA ANTID FLEY XLT CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",4500,0,"01","01"
"10018","DEFENSA ANTID MINI FLEY CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3000,0,"01","01"
"10019","DEFENSA ANTID MINI FLEY PINTADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3000,0,"01","01"
"10022","zbaja","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3800,0,"01","01"
"10023","DEFENSA ANTID MINI FLEY C/HULE SUP PINTADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3800,0,"01","01"
"10024","DEFENSA ANTID MINI FLEY C/REV C/HULE SUP CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",3800,0,"01","01"
"10026","DEFENSA ANTID MINI FLEY XLT CROMADA","07DTR","ZUNIV","MTW","S","Libre","PZA","PZA","PZA",4200,0,"01","01"
"10312887","MOTOVENT VENTURE / AZTEC 01-03 COMPLETO","19MV","CHEV","MNL","S","LIBRE","PZA","PZA","PZA",4600,0,,
"115-1101L","FARO SENTRA 2000 LISO C/AJUSTES IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",550,0,"01","01"
