"folioEntrada","cliente","vendedor","fecha","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"A003920","5031","8","20180712","P",1,0,1200,660,81,621,55,1,1
"A003921","5031","8","20180909","P",1,0,1200,660,81,621,55,1,1
"A003922","5031","8","20220725","P",3,0,1200,660,81,621,55,2,2
"A003923","5603","4","20170315","P",5,0,4000,2200,270,2070,55,1,1
"A003924","5650","2","20220716","P",1,0,700,385,47.25,362.25,55,1,1
"A003925","5143","1","20170202","P",1,0,450,225,33.75,258.75,50,1,1
"A003926","5092","7","20171009","P",6,0,5800,3190,391.5,3001.5,55,3,3
"A003927","5781","7","20170502","P",1,0,450,216,35.1,269.1,48,1,1
"A003928","5421","6","20220523","P",2,0,1050,525,78.75,603.75,50,2,2
"A003929","5286","1","20211031","P",8,0,3770,2073.5,254.48,1950.98,55,3,3
"A003930","5286","1","20210610","P",8,0,3770,2073.5,254.48,1950.98,55,3,3
"A003931","5046","7","20140810","P",2,0,1400,742,98.7,756.7,53,2,2
"A003932","5777","7","20160601","P",9,0,1710,820.8,133.38,1022.58,48,3,3
"A003933","5819","5","20200209","P",30,0,12000,6240,864,6624,52,1,1
"A003934","5050","7","20200817","P",7,0,3650,1898,262.8,2014.8,52,4,4
"A003935","5034","8","20200113","P",1,0,900,495,60.75,465.75,55,1,1
"A003936","5044","2","20201004","P",4,0,6700,3685,452.25,3467.25,55,3,3
"A003937","5183","2","20220925","P",8,0,6700,3484,482.4,3698.4,52,4,4
"A003938","5819","5","20200612","P",26,0,53900,28028,3880.8,29752.8,52,25,25
"A003940","5819","5","20160519","P",11,0,16900,8788,1216.8,9328.8,52,10,10
"A003941","5223","1","20170528","P",8,0,8300,4316,597.6,4581.6,52,6,6
"A003942","5223","1","20201118","P",8,0,9600,4992,691.2,5299.2,52,6,6
"A003943","5223","1","20170908","P",10,0,5000,2600,360,2760,52,2,2
"A003944","5512","5","20200830","P",2,0,1800,720,162,1242,40,2,2
"A003945","5050","7","20210214","P",2,0,300,156,21.6,165.6,52,2,2
"A003946","5050","7","20170827","P",1,0,1400,728,100.8,772.8,52,1,1
"A003947","5018","7","20160603","P",1,0,1000,550,67.5,517.5,55,1,1
"A003948","5512","5","20221120","P",1,0,1200,480,108,828,40,1,1
"A003949","0083","0","20221208","P",2,0,800,360,66,506,45,1,1
"A003950","0110","0","20170418","P",10,0,1600,800,120,920,50,2,2
"A003951","0112","0","20150420","P",8,0,3510,1755,263.25,2018.25,50,8,8
"A003952","0095","0","20160525","P",1,0,110,49.5,9.08,69.58,45,1,1
"A003953","0034","0","20140318","P",8,0,5280,2376,435.62,3339.62,45,8,8
"A003954","5056","8","20180902","P",3,0,1020,561,68.85,527.85,55,3,3
"A003955","5056","8","20150809","P",3,0,1720,946,116.1,890.1,55,3,3
"A003956","5308","4","20220504","P",1,0,450,225,33.75,258.75,50,1,1
"A003957","5333","4","20180307","P",2,0,680,340,51,391,50,2,2
"A003958","5075","8","20140826","P",4,0,740,407,49.95,382.95,55,2,2
"A003959","5056","8","20140317","P",2,0,1600,880,108,828,55,2,2
"A003960","5028","4","20150722","P",10,0,500,275,33.75,258.75,55,1,1
"A003961","5214","4","20180818","P",3,0,3500,1715,0,1785,49,3,3
"A003962","5712","6","20170802","P",2,0,900,495,60.76,465.76,55,2,2
"A003963","5709","7","20160808","P",1,0,500,260,36,276,52,1,1
"A003964","5094","1","20140615","P",6,0,2550,1453.5,164.48,1260.98,57,2,2
"A003965","5656","6","20140418","P",1,0,300,150,22.5,172.5,50,1,1
"A003966","5234","1","20150528","P",21,0,6380,3636.6,411.51,3154.91,57,3,3
"A003967","5391","8","20160226","P",1,0,2200,1144,158.4,1214.4,52,1,1
"A003968","5234","1","20210929","P",20,0,6000,3420,387,2967,57,2,2
"A003969","0008","3","20140127","P",1,0,120,66,8.1,62.1,55,1,1
"A003970","0008","3","20200814","P",8,0,1700,935,114.76,879.76,55,6,6
"A003971","0008","3","20201024","P",8,0,2120,1166,143.11,1097.11,55,6,6
"A003972","5245","7","20191210","P",5,0,1500,855,96.75,741.75,57,2,2
"A003973","5126","7","20190529","P",10,0,1000,500,75,575,50,2,2
