"ClaveFecha","Fecha","Año","Semestre","Trimestre","Cuatrimestre","Mes","NombreMes","Dia","NombreDia"
"20140101  ","2014-01-01T00:00",2014,1,1,1,1,"Enero",1,"Miércoles"
"20140102  ","2014-01-02T00:00",2014,1,1,1,1,"Enero",2,"Jueves"
"20140103  ","2014-01-03T00:00",2014,1,1,1,1,"Enero",3,"Viernes"
"20140104  ","2014-01-04T00:00",2014,1,1,1,1,"Enero",4,"Sábado"
"20140105  ","2014-01-05T00:00",2014,1,1,1,1,"Enero",5,"Domingo"
"20140106  ","2014-01-06T00:00",2014,1,1,1,1,"Enero",6,"Lunes"
"20140107  ","2014-01-07T00:00",2014,1,1,1,1,"Enero",7,"Martes"
"20140108  ","2014-01-08T00:00",2014,1,1,1,1,"Enero",8,"Miércoles"
"20140109  ","2014-01-09T00:00",2014,1,1,1,1,"Enero",9,"Jueves"
"20140110  ","2014-01-10T00:00",2014,1,1,1,1,"Enero",10,"Viernes"
"20140111  ","2014-01-11T00:00",2014,1,1,1,1,"Enero",11,"Sábado"
"20140112  ","2014-01-12T00:00",2014,1,1,1,1,"Enero",12,"Domingo"
"20140113  ","2014-01-13T00:00",2014,1,1,1,1,"Enero",13,"Lunes"
"20140114  ","2014-01-14T00:00",2014,1,1,1,1,"Enero",14,"Martes"
"20140115  ","2014-01-15T00:00",2014,1,1,1,1,"Enero",15,"Miércoles"
"20140116  ","2014-01-16T00:00",2014,1,1,1,1,"Enero",16,"Jueves"
"20140117  ","2014-01-17T00:00",2014,1,1,1,1,"Enero",17,"Viernes"
"20140118  ","2014-01-18T00:00",2014,1,1,1,1,"Enero",18,"Sábado"
"20140119  ","2014-01-19T00:00",2014,1,1,1,1,"Enero",19,"Domingo"
"20140120  ","2014-01-20T00:00",2014,1,1,1,1,"Enero",20,"Lunes"
"20140121  ","2014-01-21T00:00",2014,1,1,1,1,"Enero",21,"Martes"
"20140122  ","2014-01-22T00:00",2014,1,1,1,1,"Enero",22,"Miércoles"
"20140123  ","2014-01-23T00:00",2014,1,1,1,1,"Enero",23,"Jueves"
"20140124  ","2014-01-24T00:00",2014,1,1,1,1,"Enero",24,"Viernes"
"20140125  ","2014-01-25T00:00",2014,1,1,1,1,"Enero",25,"Sábado"
"20140126  ","2014-01-26T00:00",2014,1,1,1,1,"Enero",26,"Domingo"
"20140127  ","2014-01-27T00:00",2014,1,1,1,1,"Enero",27,"Lunes"
"20140128  ","2014-01-28T00:00",2014,1,1,1,1,"Enero",28,"Martes"
"20140129  ","2014-01-29T00:00",2014,1,1,1,1,"Enero",29,"Miércoles"
