"folioSalida","condicionDePago","medioEmbarque","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"A0020915","30","RUT","P",17,0,10060,5231.2,724.32,5553.12,52,10,10
"A0020916","60","RUT","P",30,0,9200,4876,648.62,4972.62,53,20,20
"A0020917","60","RUT","P",49,0,30290,16053.7,2135.49,16371.79,53,35,35
"A0020918","60","RUT","P",73,0,18230,9661.9,1285.27,9853.37,53,35,35
"A0020919","60","RUT","P",60,0,33970,18004.1,2394.91,18360.81,53,35,35
"A0020920","60","RUT","P",179,0,63040,34672,4255.25,32623.25,55,41,41
"A0020921","60","RUT","P",88,0,37900,20845,2558.26,19613.26,55,15,15
"A0020922","60","RUT","P",64,0,41270,21873.1,2909.58,22306.48,53,38,38
"A0020923","60","RUT","P",61,0,33660,17839.8,2373.07,18193.27,53,33,33
"A0020924","45","RUT","P",220,0,134300,73865,9065.25,69500.25,55,34,34
"A0020925","45","RUT","P",101,0,43500,23925,2936.26,22511.26,55,14,14
"A0020926","60","RUT","P",126,0,42970,24492.9,2771.59,21248.69,57,22,22
"A0020927","60","RUT","P",132,0,90640,51664.8,5846.3,44821.5,57,18,18
"A0020928","60","RUT","P",79,0,16720,8861.6,1178.81,9037.21,53,33,33
"A0020929","60",,"P",77,0,25545,14049.75,1724.3,13219.55,55,39,39
"A0020930","60","RUT","P",24,0,8920,4906,602.1,4616.1,55,11,11
"A0020931","45","RUT","P",49,0,27830,15306.5,1878.56,14402.06,55,33,33
"A0020933","45","RUT","P",77,0,31400,17270,2119.54,16249.54,55,32,32
"A0020934","45","RUT","P",43,0,27350,15042.5,1846.15,14153.65,55,31,31
"A0020935","45","RUT","P",48,0,9790,5384.5,660.84,5066.34,55,18,18
"A0020936","45","RUT","P",69,0,41090,22599.5,2773.58,21264.08,55,10,10
"A0020937","60","RUT","P",39,0,12415,6579.95,875.33,6710.38,53,35,35
"A0020938","60","RUT","P",41,0,16570,8782.1,1168.24,8956.14,53,35,35
"A0020939","60","RUT","P",22,0,4530,2400.9,319.38,2448.48,53,19,19
"A0020940","40","RUT","P",50,0,27570,14336.4,1985.04,15218.64,52,35,35
"A0020941","30","RUT","P",50,0,19840,9920,1488,11408,50,27,27
"A0020942","30","RUT","P",60,0,40150,22082.5,2710.14,20777.64,55,11,11
"A0020943","30","RUT","P",18,0,9000,4320,702,5382,48,9,9
"A0020944","30","RUT","P",20,0,5900,3245,398.25,3053.25,55,2,2
"A0020945","45","RUT","P",118,0,80250,40125,6018.75,46143.75,50,37,37
"A0020946","45","RUT","P",108,0,97360,50627.2,7009.92,53742.72,52,39,39
"A0020947","30","RUT","P",35,0,11130,5565,834.75,6399.75,50,9,9
"A0020948","30","RUT","P",7,0,5950,3272.5,401.63,3079.13,55,1,1
"A0020949","60","RUT","P",41,0,14925,7910.25,1052.28,8067.03,53,36,36
"A0020950","60","RUT","P",42,0,19655,10417.15,1385.73,10623.58,53,36,36
"A0020951","60","RUT","P",36,0,15180,8045.4,1070.22,8204.82,53,27,27
"A0020952","30","RUT","P",5,0,8600,4300,645,4945,50,3,3
"A0020953","45","RUT","P",36,0,20150,10478,1450.8,11122.8,52,24,24
"A0020954","45","RUT","P",30,0,15400,8470,1039.5,7969.5,55,4,4
"A0020955","90","RUT","P",61,0,29590,16274.5,1997.37,15312.87,55,31,31
"A0020956","90","RUT","P",76,0,19645,10804.75,1326.05,10166.3,55,32,32
"A0020957","90","RUT","P",36,0,5240,2882,353.72,2711.72,55,14,14
"A0020958","30","RUT","P",43,0,21310,10228.8,1662.18,12743.38,48,33,33
"A0020959","30","RUT","P",45,0,10970,5265.6,855.66,6560.06,48,35,35
"A0020960","45",,"P",96,0,45410,24975.5,3065.2,23499.7,55,40,40
"A0020961","45",,"P",67,0,30990,17044.5,2091.84,16037.34,55,17,17
"A0020962","30",,"P",32,0,10530,5791.5,710.79,5449.29,55,24,24
"A0020963","15","RUT","P",36,0,6670,3201.6,520.26,3988.66,48,23,23
"A0020964","15","RUT","P",55,0,7030,3374.4,548.34,4203.94,48,26,26
"A0020965","60","RUT","P",157,0,122880,63897.6,8847.36,67829.76,52,38,38
"A0020966","60","RUT","P",122,0,86400,44928,6220.8,47692.8,52,17,17
"A0020967","45","rut","P",81,0,34980,17490,2623.5,20113.5,50,33,33
"A0020968","45","RUT","P",106,0,33100,16550,2482.51,19032.51,50,34,34
"A0020969","45","RUT","P",36,0,6730,3365,504.75,3869.75,50,12,12
"A0020970","30","RUT","P",71,0,20050,10025,1503.75,11528.75,50,37,37
"A0020971","30","RUT","P",20,0,19350,10642.5,1306.13,10013.63,55,3,3
"A0020972","45","RUT","P",74,0,37610,20685.5,2538.71,19463.21,55,41,41
"A0020973","45","RUT","P",56,0,10510,5780.5,709.45,5438.95,55,27,27
"A0020974","90","RUT","P",264,0,44330,25268.1,2859.29,21921.19,57,30,30
"A0020975","90","RUT","P",133,0,31870,18165.9,2055.63,15759.73,57,25,25
"A0020976","90","RUT","P",175,0,72160,41131.2,4654.34,35683.14,57,32,32
"A0020977","45","RUT","P",60,0,43140,22432.8,3106.08,23813.28,52,32,32
"A0020978","45","RUT","P",88,0,54850,28522,3949.2,30277.2,52,34,34
"A0020979","45","RUT","P",89,0,31190,16218.8,2245.68,17216.88,52,36,36
"A0020980","45","RUT","P",48,0,25080,13041.6,1805.76,13844.16,52,35,35
"A0020981","45","RUT","P",80,0,37300,20515,2517.76,19302.76,55,6,6
"A0020982","45",,"P",172,0,75300,41415,5082.76,38967.76,55,18,18
"A0020983","45","RUT","P",119,0,49170,25568.4,3540.24,27141.84,52,33,33
"A0020984","45","RUT","P",40,0,8700,4524,626.4,4802.4,52,10,10
"A0020985","45","RUT","P",70,0,49075,25519,3533.4,27089.4,52,35,35
"A0020986","45","RUT","P",66,0,50630,26327.6,3645.36,27947.76,52,31,31
"A0020987","45","RUT","P",23,0,17480,9089.6,1258.56,9648.96,52,16,16
"A0020988","30","RUT","P",71,0,53590,29474.5,3617.35,27732.85,55,41,41
"A0020989","30","RUT","P",98,0,41410,22775.5,2795.23,21429.73,55,37,37
"A0020990","30","RUT","P",82,0,58450,32147.5,3945.39,30247.89,55,41,41
"A0020991","30","RUT","P",65,0,34660,17330,2599.5,19929.5,50,34,34
"A0020992","30","RUT","P",20,0,1710,855,128.26,983.26,50,6,6
"A0020993","30","RUT","P",117,0,27005,14852.75,1822.86,13975.11,55,40,40
"A0020994","30","RUT","P",86,0,42920,23606,2897.12,22211.12,55,17,17
"A0020995","30","RUT","P",6,0,1440,792,97.2,745.2,55,3,3
"A0020996","60","RUT","P",83,0,43300,23815,2922.75,22407.75,55,17,17
"A0020997","45","RUT","P",191,0,105900,58245,7148.27,54803.27,55,29,29
"A0020998","60","RUT","P",181,0,37700,18850,2827.5,21677.5,50,38,40
"A0020999","60","RUT","P",30,0,12150,6682.5,820.14,6287.64,55,5,5
"A0021000","60","RUT","P",96,0,44990,22495,3374.25,25869.25,50,32,32
"A0021001","30","rut","P",80,0,70750,38912.5,4775.63,36613.13,55,40,40
"A0021002","30","rut","P",97,0,84150,46282.5,5680.13,43547.63,55,39,39
"A0021003","30","rut","P",79,0,35870,19728.5,2421.24,18562.74,55,12,12
"A0021004","30","RUT","P",12,0,13000,7150,877.5,6727.5,55,4,4
"A0021005","60","RUT","P",35,0,17200,9460,1161,8901,55,9,9
"A0021006","45","RUT","P",1,0,700,350,52.5,402.5,50,1,1
"A0021007","60","RUT","P",84,0,58110,31960.5,3922.43,30071.93,55,38,38
"A0021008","60","RUT","P",85,0,49270,27098.5,3325.73,25497.23,55,36,36
"A0021009","60","RUT","P",38,0,10490,5769.5,708.13,5428.63,55,32,32
"A0021010","60","RUT","P",21,0,5005,2752.75,337.9,2590.15,55,20,20
"A0021011","30","RUT","P",98,0,77390,42564.5,5223.86,40049.36,55,41,41
"A0021012","30","RUT","P",14,0,4040,2222,272.7,2090.7,55,8,8
"A0021013","30","RUT","P",20,0,12000,5760,936,7176,48,11,11
"A0021014","15","RUT","P",26,0,7460,3730,559.5,4289.5,50,14,14
"A0021015","60","RUT","P",38,0,19970,10983.5,1348.01,10334.51,55,26,26
"A0021016","60","RUT","P",71,0,19800,10890,1336.52,10246.52,55,25,25
"A0021017","60","RUT","P",61,0,17680,9724,1193.4,9149.4,55,26,26
"A0021018","60","RUT","P",73,0,14230,7826.5,960.55,7364.05,55,26,26
"A0021019","60","RUT","P",52,0,4915,2703.25,331.81,2543.56,55,26,26
"A0021020","60","RUT","P",37,0,8260,4543,557.59,4274.59,55,26,26
"A0021021","60","RUT","P",63,0,10140,5577,684.5,5247.5,55,25,25
"A0021022","60","RUT","P",66,0,4608,2534.4,311.04,2384.64,55,18,18
"A021023",,,"P",54,0,26860,0,4029,30889,,28,28
"A021024",,,"P",34,0,35620,0,5343,40963,,21,21
"A021025",,,"P",13,0,7610,0,1141.5,8751.5,,11,11
"A021026",,,"P",6,0,5550,0,832.5,6382.5,,6,6
"A021027",,,"P",12,0,3364.67,0,504.69,3869.36,,10,10
"A021028",,,"P",2,0,378.88,0,56.83,435.71,,1,1
"A021029",,,"P",1,0,500,0,75,575,,1,1
"A021030",,,"P",5,0,4300,0,645,4945,,2,2
"A021031",,,"P",148,0,13352.7,0,2002.9,15355.6,,8,8
"A021032",,,"P",22,0,6457.39,0,968.61,7426,,1,1
"A021033",,,"P",8,0,157.32,0,23.6,180.92,,1,1
"A021034",,,"P",1,0,69.83,0,10.47,80.3,,1,1
"A021035",,,"P",1,0,1220,0,183,1403,,1,1
"A021036",,,"P",16,0,5418.34,0,812.76,6231.1,,13,13
"A021037",,,"P",3,0,394.09,0,59.11,453.2,,1,1
"A021038",,,"P",1,0,2300,0,345,2645,,1,1
"A021039",,,"P",2,0,522.34,0,78.35,600.69,,1,1
"A021040",,,"P",2,0,1600,0,240,1840,,1,1
"A021041",,,"P",1,0,130,0,19.5,149.5,,1,1
"A021042",,,"P",2,0,800,0,120,920,,2,2
"A021043",,,"P",1,0,350,0,52.5,402.5,,1,1
"A021044",,,"P",1,0,600,0,90,690,,1,1
"A021045",,,"P",1,0,1200,0,180,1380,,1,1
"A021046",,,"P",100,0,6580.08,0,987.01,7567.09,,1,1
"A021047",,,"P",1,0,700,0,105,805,,1,1
"A021048",,,"P",7,0,1260,0,189,1449,,1,1
"A021049",,,"P",3,0,2800,0,420,3220,,3,3
"A021050",,,"P",2,0,3400,0,510,3910,,2,2
"A021051",,,"P",3,0,1820,0,273,2093,,3,3
"A021052",,,"P",1,0,450,0,67.5,517.5,,1,1
"A021053",,,"P",5,0,7000,0,1050,8050,,1,1
"A021054",,,"P",1,0,350,0,52.5,402.5,,1,1
"A021055",,,"P",40,0,1673.14,0,250.98,1924.12,,2,2
"A021056",,,"P",16,0,10396.8,0,1559.52,11956.32,,1,1
"A021057",,,"P",2,0,100,0,15,115,,2,2
"A021058",,,"P",12,0,3569.46,0,535.42,4104.88,,1,1
"A021059",,,"P",31,0,8063.33,0,1209.5,9272.83,,3,3
"A021060",,,"P",160,0,5844.38,0,876.66,6721.04,,3,3
"A021061",,,"P",3,0,2650,0,397.5,3047.5,,2,2
"A021062",,,"P",1,0,41.53,0,0,41.53,,1,1
"A021063",,,"P",160,0,5844.38,0,876.66,6721.04,,3,3
"A021064",,,"P",1,0,140,0,21,161,,1,1
"A021065",,,"P",160,0,5844.38,0,876.66,6721.04,,3,3
"A021066",,,"P",48,0,1753.32,0,263.01,2016.33,,3,3
"A021067",,,"P",31,0,17190,0,2578.5,19768.5,,26,26
"A021068",,,"P",31,0,24905,0,3735.75,28640.75,,19,19
"A021069",,,"P",43,0,36630,0,5494.5,42124.5,,21,21
"A021070",,,"P",18,0,10760,0,1614,12374,,15,15
"A021071",,,"P",3,0,2380,0,357,2737,,3,3
"A021072",,,"P",4,0,388.97,0,58.34,447.31,,4,4
"A021073",,,"P",50,0,9345.31,0,1401.8,10747.11,,1,1
"A021074",,,"P",25,0,4672.65,0,700.9,5373.55,,1,1
"A021075",,,"P",40,0,0,0,0,0,,1,1
"A021076",,,"P",32,0,8134.83,0,1220.22,9355.05,,22,22
"A021077",,,"P",12,0,8620,0,1293,9913,,7,7
"A021078",,,"P",60,0,17847.3,0,2677.1,20524.4,,1,1
"A021079",,,"P",40,0,11898.2,0,1784.73,13682.93,,1,1
"A021080",,,"P",2,0,1950,0,292.5,2242.5,,2,2
"A021081",,,"P",2,0,2080,0,312,2392,,2,2
"A021082",,,"P",2,0,230.74,0,34.61,265.35,,1,1
"A021083",,,"P",3,0,450,0,67.5,517.5,,2,2
"A021084",,,"P",1,0,1200,0,180,1380,,1,1
"A021085",,,"P",1,0,400,0,60,460,,1,1
"A021086",,,"P",200,0,10670.4,0,1600.56,12270.96,,1,1
"A021087",,,"P",2,0,800,0,120,920,,2,2
"A021088",,,"P",5,0,2250,0,337.5,2587.5,,1,1
"A021089",,,"P",10,0,7000,0,1050,8050,,1,1
"A021090",,,"P",132,0,93600,0,14040,107640,,3,3
"A021091",,,"P",62,0,43400,0,6510,49910,,1,1
"A021092",,,"P",15,0,1344.06,0,201.61,1545.67,,1,1
"A021093",,,"P",21,0,25200,0,3780,28980,,1,1
"A021094",,,"P",80,0,1405.39,0,210.81,1616.2,,1,1
"A021095",,,"P",3,0,903.69,0,135.56,1039.25,,2,2
"A021096",,,"P",35,0,11801.84,0,1770.28,13572.12,,12,12
"A021097",,,"P",27,0,9286.45,0,1392.97,10679.42,,1,1
"A021098",,,"P",109,0,22460.88,0,3369.13,25830.01,,1,1
