"Articulo1","Articulo2","FoliosJuntos"
"221-1110L","221-1110R","14"
"212-1552L1","212-1552R1","13"
"212-1552L2","212-1552R2","13"
"96301Y02G0","96302Y02G0","13"
"332-1920L1","332-1920R1","12"
"331-1534L","331-1534R","10"
"SNPU81L","SNPU81R","10"
"SNPU94L","SNPU94R","10"
"ELFTO89CL","ELFTO89CR","9"
"15686149","15686150","9"
"212-1945L","212-1945R","8"
"431-1146LC","431-1146RC","8"
"SFPU92L","SFPU92R","8"
"SNPU73L","SNPU73R","8"
"331-1129L","331-1129R","8"
"215-1562L","215-1562R","8"
"ELTPU84CL","ELTPU84CR","8"
"DDNT392N","DTNT392N","8"
"CCPU92","CDSP90","7"
"BFEX91CL","BFEX91CR","7"
"SNT392L","SNT392R","7"
"212-1552L1","212-1552L2","7"
"212-1552L2","212-1552R1","7"
"212-1552L1","212-1552R2","7"
"DDFTO89","DTFTO89","7"
"331-1106L","331-1106R","7"
"442-1102L","442-1102R","7"
"SCPU92L","SCPU92R","7"
"FNPU94L","FNPU94R","7"
"332-1615L","332-1615R","7"
"SCPU99L","SCPU99R","7"
"PNPU94C","PNPU94P","7"
"215-1919L2","215-1919R2","6"
"431-1146L","431-1146R","6"
"CDSH91","CDSP90","6"
"115-1101L","115-1101R","6"
"212-1612L","212-1612R","6"
"212-1539L1","212-1539R1","6"
"332-1925L1","332-1925R1","6"
"331-1612L","331-1612R","6"
"DTCCH94","DTNT392N","6"
"CNT392","DTNT392N","6"
"CCPU92","CCPU99","6"
"CCPU92","CFPU80","6"
"CCPU92","CFPU92","6"
"CNPU73","CNT392","6"
"CNPU81","CNT392","6"
"212-1552R1","212-1552R2","6"
"FCCH01LL","FCCH01RL","6"
"SCPU81L","SCPU81R","6"
"SNPU94R","SNT392L","6"
"SNT290L","SNT392L","6"
"SNT290L","SNT392R","6"
"341-1602L","341-1602R","6"
"PNT392","PNT394","6"
"333-1505L","333-1505R","6"
"331-1107L","331-1107R","6"
"CCPU92","SCPU99R","6"
"CCCH94","CFPU92","6"
"BTPU79RL","BTPU79RR","6"
"SNPU81L","SNPU94L","6"
"PNRPU94L","PNRPU94R","5"
"PNPU86","PNPU94C","5"
"SNT184L","SNT184R","5"
"SNT184L","SNT290L","5"
"SNPU94L","SNT392L","5"
"SNT184L","SNT392L","5"
"212-1539L2","212-1539R1","5"
"312-1512L2","312-1512R2","5"
"333-1105L","333-1105R","5"
"15696691","15739587","5"
"BFPU92CL","BFPU92CR","5"
"215-1542L","215-1542R","5"
"332-1508L","332-1508R","5"
"MEPFPU80L","MEPFPU80R","5"
"ELCCH94CL","ELCCH94CR","5"
"DDCCH02","DDCCH94","5"
"CNT392","DDNT392N","5"
"CNT392","SNT392R","5"
"333-1101L","333-1101R","5"
"ELCS1095L","ELCS1095R","5"
"PNDPU94L","PNDPU94R","5"
"SFPU87L","SFPU87R","5"
"216-1508L","216-1508R","5"
"315-1504L","315-1504R","5"
"331-1124L","331-1124R","5"
"ELCCA90CBL","ELCCA90CBR","5"
"332-1611L","332-1611R","5"
"215-1967L","215-1967R","5"
"BFNPU94L","BFNPU94R","5"
"332-1117L","332-1117R","5"
"MRNPU94","MRNT392","5"
"CNPU94","CNT392","5"
"CNT288","CNT392","5"
"DDCPU92CB","DDCPU99C","5"
"6262007","6262008","5"
"DDFTO92","DTFTO89","5"
"331-1111L","331-1111R","5"
"215-1154L","215-1154R","5"
"MEPCS1082CL","MEPCS1082CR","5"
"MICS1095L","MICS1095R","5"
"MIFPU73L","MIFPU73R","5"
"332-1920L2","332-1920R2","5"
"333-1931L","333-1931R","5"
"CCPU92","SCPU99L","5"
"SCPU92L","SCPU99L","5"
"CCPU99","SCPU99R","5"
"CNPU94","SNPU94L","5"
"CNT392","SNPU94L","5"
"442-1905L","442-1905R","5"
