"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"221-1110L","221-1110R","5056","8","5"
"BTPU79RL","BTPU79RR","5056","8","4"
"ELFPU97CL","ELFPU97CR","5421","4","4"
"331-1106L","331-1106R","5421","4","4"
"CCGP97","CCSU97","5130","1","4"
"CCCA91","CDPU94","5453","1","3"
"CDSH91","CFPU97A","5223","1","3"
"CCGP97","CFCN98","5130","1","3"
"CCSU97","CFCN98","5130","1","3"
"221-1110L","BTPU79RL","5056","8","3"
"221-1110L","BTPU79RR","5056","8","3"
"221-1110R","BTPU79RL","5056","8","3"
"221-1110R","BTPU79RR","5056","8","3"
"DDCPU92CB","SFPU87L","5223","1","3"
"333-1931L","333-1931R","5124","1","3"
"96301Y02G0","96302Y02G0","5777","7","3"
"96301Y02G0","96302Y02G0","0008","3","3"
"CNT392","DTNT392N","5841","7","3"
"DDNT392N","DTNT392N","5841","7","3"
"CNT392","MPDPU92CC","5159","7","3"
"CNT392","SDPU81R","5159","7","3"
"MPDPU92CC","SDPU81R","5159","7","3"
"212-1552L2","212-1552R2","0008","3","3"
"DDFTO92","DTFTO89","5150","1","3"
"BTFGH92F","DDCCA91","5223","1","3"
"DTCCH94","DTNT392N","5841","7","3"
"DDNT392N","DTNT288A","5421","4","3"
"331-1534L","331-1534R","5053","2","3"
"CCCU87","CCGP97","5130","1","3"
"ELFTO89CL","ELFTO89CR","5001","7","3"
"PCPU94CH","SCPU92R","5002","8","3"
"331-1534L","331-1534R","0053","0","3"
"CCGP97","CDSP90","5130","1","3"
"SFMU99L","SFMU99R","5421","4","3"
"SFMU99L","SFPU97L","5421","4","3"
"SFMU99R","SFPU97L","5421","4","3"
"CDSH91","PFPU97CUC","5223","1","3"
"CNPU94","MRNPU94","5702","2","3"
"CNPU94","CVGO87","5702","2","3"
"CNPU94","SNPU94L","5702","2","3"
"CVGO87","SNPU94L","5702","2","3"
"CNPU94","MRNT392","5702","2","3"
"213-1123L","213-1123R","5421","4","3"
"431-1146RC","442-1102L","5092","7","3"
"431-1146RC","442-1102R","5092","7","3"
"431-1146RC","DDCMA97","5092","7","3"
"442-1102L","442-1102R","5092","7","3"
"442-1102L","DDCMA97","5092","7","3"
"442-1102R","DDCMA97","5092","7","3"
"217-1309L","217-1309R","0002","3","3"
"BTCMA97P","CDSP90","5130","1","3"
"315-1504L","315-1504R","5392","2","3"
"DDDNE94","DDDPU94C","5223","1","3"
"215-1926L","215-1926R","0008","3","3"
"DDFTO89","DTFTO89","5150","1","3"
"DDFTO89","DDFTO92","5150","1","2"
"331-1518R","DDDSP90","5103","8","2"
"331-1518R","DDDST95","5103","8","2"
"331-1518R","DDVJE99M","5103","8","2"
"331-1518R","PDPU94C","5103","8","2"
"331-1518R","SPCPU81D","5103","8","2"
"DDDSP90","DDDST95","5103","8","2"
"DDDSP90","DDVJE99M","5103","8","2"
"DDDSP90","PDPU94C","5103","8","2"
"DDDSP90","SPCPU81D","5103","8","2"
"DDDST95","DDVJE99M","5103","8","2"
"DDDST95","PDPU94C","5103","8","2"
"DDDST95","SPCPU81D","5103","8","2"
"DDVJE99M","PDPU94C","5103","8","2"
"DDVJE99M","SPCPU81D","5103","8","2"
"PDPU94C","SPCPU81D","5103","8","2"
"331-1124L","331-1124R","5206","7","2"
"ELCMA97CL","ELCMA97R","5827","2","2"
"332-1612L","DDCPU92CL","5223","1","2"
"332-1612L","DDDNE94","5223","1","2"
"332-1612L","DDDPU94C","5223","1","2"
"332-1612L","DDFPU99C","5223","1","2"
"DDCPU92CL","DDDNE94","5223","1","2"
"DDCPU92CL","DDDPU94C","5223","1","2"
"DDCPU92CL","DDFPU99C","5223","1","2"
"DDDNE94","DDFPU99C","5223","1","2"
"DDDPU94C","DDFPU99C","5223","1","2"
"CCPU92","CCS1082","5509","1","2"
"FCCH01LL","FCCH01RL","5509","1","2"
"CTPU84","SCPU92L","0011","3","2"
"CCPU92","SNPU81L","5190","6","2"
"CCPU92","SNPU81R","5190","6","2"
"SNPU81L","SNPU81R","5190","6","2"
"331-1638L","PNTS93","0024","3","2"
"CNTS94","PNPU92","0024","3","2"
"CNTS94","PP20601","0024","3","2"
"PNPU92","PP20601","0024","3","2"
"212-1539R1","212-1552L2","0008","3","2"
"212-1539R1","212-1552R2","0008","3","2"
"ATDCH84R","RV528E","0008","3","2"
